IP,pages,pageviews,pageviews_per_session,avg_session_duration,country,Time
10.131.0.6,/index.html,75,3,3.125349834,Cuba,[29/Nov/2017:14:54:55
10.128.2.1,/archery.html,93,3,2.195553983,South Africa,[29/Nov/2017:14:55:46
10.128.2.1,/athletics.html,80,3,1.740433088,South Africa,[29/Nov/2017:14:55:53
10.128.2.1,/boxing.html,2,2,3.377598955,South Africa,[29/Nov/2017:14:55:56
10.128.2.1,/wrestling.html,86,3,2.293079747,South Africa,[29/Nov/2017:14:56:00
10.128.2.1,/track-cycling.html,61,2,2.448762496,South Africa,[29/Nov/2017:14:56:04
10.128.2.1,/tennis.html,32,1,1.798024479,South Africa,[29/Nov/2017:14:56:08
10.129.1.1,/rugby.html,64,3,2.23813397,Egypt,[29/Nov/2017:14:56:08
10.129.2.3,/hockey.html,58,1,2.889164801,Namibia,[29/Nov/2017:14:56:17
10.129.2.3,/football.html,28,1,2.400462416,Namibia,[29/Nov/2017:14:56:18
10.131.0.6,/contact_us.html,24,2,3.013900512,Cuba,[29/Nov/2017:15:00:05
10.131.2.1,/index.html,25,3,1.742329067,Fiji,[29/Nov/2017:15:00:53
10.131.2.1,/archery.html,73,3,1.685437862,Fiji,[29/Nov/2017:15:00:53
10.131.2.1,/athletics.html,9,2,3.666653367,Fiji,[29/Nov/2017:15:00:55
10.131.2.1,/boxing.html,84,3,1.291290672,Fiji,[29/Nov/2017:15:01:00
10.130.2.4,/wrestling.html,41,3,3.428978233,Morocco,[29/Nov/2017:15:01:04
10.128.2.1,/index.html,13,3,1.102151506,South Africa,[29/Nov/2017:15:04:07
10.128.2.1,/archery.html,91,2,1.925787556,South Africa,[29/Nov/2017:15:04:10
10.130.2.1,/athletics.html,40,1,1.494775996,Moscow,[29/Nov/2017:15:04:11
10.130.2.1,/boxing.html,1,2,3.57229212,Moscow,[29/Nov/2017:15:04:31
10.130.2.1,/wrestling.html,46,2,3.354279011,Moscow,[29/Nov/2017:15:04:34
10.130.2.1,/index.html,11,2,1.449885139,Moscow,[29/Nov/2017:15:04:35
10.130.2.4,/archery.html,8,3,1.239236448,Morocco,[29/Nov/2017:15:04:41
10.130.2.4,/athletics.html,62,2,3.067007208,Morocco,[29/Nov/2017:15:05:11
10.130.2.4,/boxing.html,51,2,3.670799835,Morocco,[29/Nov/2017:15:05:19
10.131.2.1,/wrestling.html,52,2,1.890768472,Fiji,[29/Nov/2017:15:05:20
10.131.2.1,/index.html,84,2,1.134661084,Fiji,[29/Nov/2017:15:05:24
10.131.2.1,/index.html,1,3,2.650613533,Fiji,[29/Nov/2017:15:05:30
10.131.2.1,/archery.html,16,1,1.72068078,Fiji,[29/Nov/2017:15:05:35
10.128.2.1,/athletics.html,52,3,3.068477487,South Africa,[29/Nov/2017:15:07:26
10.131.2.1,/boxing.html,31,2,3.183815392,Fiji,[29/Nov/2017:15:07:44
10.128.2.1,/wrestling.html,32,2,1.191333381,South Africa,[29/Nov/2017:15:07:44
10.128.2.1,/track-cycling.html,4,1,2.52065077,South Africa,[29/Nov/2017:15:07:45
10.128.2.1,/tennis.html,27,2,3.815816591,South Africa,[29/Nov/2017:15:07:45
10.131.2.1,/rugby.html,54,3,2.7245666,Fiji,[29/Nov/2017:15:07:45
10.130.2.4,/hockey.html,79,1,2.41773946,Morocco,[29/Nov/2017:15:07:45
10.131.0.3,/football.html,73,1,3.746040495,Canada,[29/Nov/2017:15:07:45
10.128.2.1,/contact_us.html,56,2,1.322730604,South Africa,[29/Nov/2017:15:07:45
10.130.2.5,/index.html,38,2,3.04422369,Brazil,[29/Nov/2017:15:07:46
10.131.2.1,/archery.html,48,3,2.906108374,Fiji,[29/Nov/2017:15:07:46
10.128.2.1,/athletics.html,53,1,3.031332068,South Africa,[29/Nov/2017:15:07:49
10.128.2.1,/boxing.html,99,3,2.028097605,South Africa,[29/Nov/2017:15:07:57
10.128.2.1,/wrestling.html,30,2,3.94297072,South Africa,[29/Nov/2017:15:07:57
10.128.2.1,/boxing.html,48,1,3.311854175,South Africa,[29/Nov/2017:15:07:58
10.130.2.5,/wrestling.html,30,1,2.539564431,Brazil,[29/Nov/2017:15:07:58
10.128.2.1,/track-cycling.html,10,3,1.581004346,South Africa,[29/Nov/2017:15:08:04
10.128.2.1,/tennis.html,18,2,1.95135789,South Africa,[29/Nov/2017:15:08:07
10.130.2.5,/rugby.html,78,1,2.308509035,Brazil,[29/Nov/2017:15:08:07
10.130.2.5,/hockey.html,56,2,3.322980844,Brazil,[29/Nov/2017:15:08:10
10.130.2.5,/football.html,92,2,2.707326165,Brazil,[29/Nov/2017:15:08:27
10.131.2.1,/contact_us.html,26,2,3.915755092,Fiji,[29/Nov/2017:15:08:28
10.131.2.1,/index.html,11,2,2.376263439,Fiji,[29/Nov/2017:15:08:46
10.131.2.1,/archery.html,97,1,1.661410102,Fiji,[29/Nov/2017:15:08:48
10.129.2.3,/athletics.html,5,3,2.459468404,Namibia,[29/Nov/2017:15:08:49
10.129.2.3,/boxing.html,79,1,3.361412626,Namibia,[29/Nov/2017:15:08:52
10.128.2.1,/wrestling.html,39,1,1.654242622,South Africa,[29/Nov/2017:15:11:18
10.128.2.1,/index.html,30,2,2.923775887,South Africa,[29/Nov/2017:15:11:21
10.128.2.1,/archery.html,91,3,2.815862933,South Africa,[29/Nov/2017:15:11:21
10.128.2.1,/athletics.html,33,3,3.489353443,South Africa,[29/Nov/2017:15:11:24
10.128.2.1,/boxing.html,76,2,1.604985014,South Africa,[29/Nov/2017:15:11:32
10.128.2.1,/wrestling.html,17,2,1.788643264,South Africa,[29/Nov/2017:15:11:36
10.128.2.1,/index.html,8,1,1.927051104,South Africa,[29/Nov/2017:15:11:36
10.128.2.1,/index.html,65,1,3.758868912,South Africa,[29/Nov/2017:15:11:41
10.129.2.3,/archery.html,19,1,2.582539986,Namibia,[29/Nov/2017:15:12:40
10.129.1.1,/athletics.html,92,2,2.401523835,Egypt,[29/Nov/2017:15:12:40
10.129.1.1,/boxing.html,64,3,3.554898273,Egypt,[29/Nov/2017:15:12:44
10.129.1.1,/wrestling.html,96,3,1.612739713,Egypt,[29/Nov/2017:15:12:48
10.129.2.1,/track-cycling.html,85,3,2.284499032,Zambia,[29/Nov/2017:15:12:58
10.129.1.1,/tennis.html,81,1,1.737900733,Egypt,[29/Nov/2017:15:13:01
10.129.1.1,/rugby.html,100,1,1.317023229,Egypt,[29/Nov/2017:15:13:12
10.130.2.5,/hockey.html,67,1,2.039438968,Brazil,[29/Nov/2017:15:13:12
10.130.2.1,/football.html,29,1,3.091824171,Moscow,[29/Nov/2017:15:13:16
10.131.2.1,/contact_us.html,46,2,1.363762634,Fiji,[29/Nov/2017:15:40:24
10.131.2.2,/index.html,29,3,2.704732912,Ghana,[29/Nov/2017:15:40:29
10.131.2.2,/archery.html,26,2,1.580118812,Ghana,[29/Nov/2017:15:40:31
10.131.2.2,/athletics.html,24,1,2.227893685,Ghana,[29/Nov/2017:15:40:33
10.131.2.2,/boxing.html,61,3,3.411608545,Ghana,[29/Nov/2017:15:40:42
10.131.2.2,/wrestling.html,31,3,1.694790385,Ghana,[29/Nov/2017:15:40:48
10.131.2.2,/athletics.html,95,2,3.485708698,Ghana,[29/Nov/2017:15:40:49
10.131.2.2,/boxing.html,36,2,2.593715661,Ghana,[29/Nov/2017:15:40:53
10.131.2.2,/wrestling.html,7,2,2.185355411,Ghana,[29/Nov/2017:15:40:56
10.131.0.3,/track-cycling.html,18,3,3.066172628,Canada,[29/Nov/2017:15:41:03
10.129.2.3,/tennis.html,91,2,3.621056068,Namibia,[29/Nov/2017:15:41:04
10.129.2.3,/rugby.html,100,1,1.058201537,Namibia,[29/Nov/2017:15:41:25
10.131.0.3,/hockey.html,15,1,1.324696628,Canada,[29/Nov/2017:15:41:26
10.131.0.3,/football.html,90,1,2.926523362,Canada,[29/Nov/2017:15:41:34
10.129.2.3,/contact_us.html,9,2,1.071548177,Namibia,[29/Nov/2017:15:41:35
10.129.2.3,/index.html,35,1,2.118855015,Namibia,[29/Nov/2017:15:41:52
10.129.1.1,/archery.html,67,3,3.019861576,Egypt,[29/Nov/2017:15:41:55
10.131.2.2,/athletics.html,41,1,1.04978095,Ghana,[29/Nov/2017:15:41:55
10.131.2.2,/boxing.html,80,2,3.77500725,Ghana,[29/Nov/2017:15:42:00
10.131.2.2,/wrestling.html,42,3,3.968845191,Ghana,[29/Nov/2017:15:42:03
10.131.2.2,/index.html,29,1,2.432567429,Ghana,[29/Nov/2017:15:42:11
10.131.2.2,/archery.html,31,1,2.578971762,Ghana,[29/Nov/2017:15:42:19
10.130.2.1,/athletics.html,13,2,3.804062241,Moscow,[29/Nov/2017:15:43:33
10.130.2.1,/boxing.html,8,1,3.992755254,Moscow,[29/Nov/2017:15:43:36
10.129.1.1,/wrestling.html,48,1,2.787963697,Egypt,[29/Nov/2017:15:43:37
10.129.2.1,/index.html,88,3,1.891672461,Zambia,[29/Nov/2017:15:43:40
10.129.2.1,/index.html,88,3,2.128004237,Zambia,[29/Nov/2017:15:43:42
10.129.2.1,/archery.html,1,1,3.331183601,Zambia,[29/Nov/2017:15:43:55
10.128.2.1,/athletics.html,6,3,1.815818087,South Africa,[29/Nov/2017:15:56:11
10.128.2.1,/boxing.html,100,2,3.015721922,South Africa,[29/Nov/2017:15:56:15
10.131.0.3,/wrestling.html,52,1,3.985419579,Canada,[29/Nov/2017:15:56:16
10.131.0.6,/track-cycling.html,99,3,3.180417328,Cuba,[29/Nov/2017:15:56:21
10.131.0.6,/tennis.html,25,3,1.349347067,Cuba,[29/Nov/2017:15:56:38
10.129.1.1,/rugby.html,78,3,1.723616556,Egypt,[29/Nov/2017:15:56:39
10.129.1.1,/hockey.html,30,2,1.904559266,Egypt,[29/Nov/2017:15:56:44
10.131.2.2,/football.html,63,3,3.016658438,Ghana,[29/Nov/2017:16:08:00
10.129.1.1,/contact_us.html,9,2,1.466866232,Egypt,[29/Nov/2017:16:08:00
10.129.2.1,/index.html,59,1,3.145217483,Zambia,[29/Nov/2017:16:08:06
10.131.2.2,/archery.html,68,3,2.205636081,Ghana,[29/Nov/2017:16:14:46
10.131.2.2,/athletics.html,81,2,2.207713296,Ghana,[29/Nov/2017:16:14:53
10.131.2.2,/boxing.html,1,3,3.511563934,Ghana,[29/Nov/2017:16:15:02
10.131.2.1,/wrestling.html,67,3,2.794772455,Fiji,[29/Nov/2017:16:15:06
10.131.2.1,/wrestling.html,17,1,2.977244484,Fiji,[29/Nov/2017:16:15:10
10.131.2.1,/track-cycling.html,69,1,1.866986592,Fiji,[29/Nov/2017:16:15:33
10.131.2.1,/tennis.html,29,3,3.264210865,Fiji,[29/Nov/2017:16:15:36
10.131.2.1,/rugby.html,11,1,3.427382769,Fiji,[29/Nov/2017:16:15:40
10.131.2.1,/hockey.html,2,2,3.080415888,Fiji,[29/Nov/2017:16:15:42
10.131.2.1,/football.html,87,2,2.150253787,Fiji,[29/Nov/2017:16:15:45
10.131.2.1,/contact_us.html,49,2,1.095346699,Fiji,[29/Nov/2017:16:15:50
10.131.2.1,/index.html,42,3,1.143746015,Fiji,[29/Nov/2017:16:15:51
10.131.2.1,/archery.html,87,3,3.397822642,Fiji,[29/Nov/2017:16:15:56
10.131.0.6,/athletics.html,69,1,3.208729846,Cuba,[29/Nov/2017:16:18:05
10.131.0.4,/boxing.html,71,2,1.546946003,Chile,[29/Nov/2017:16:18:12
10.131.2.1,/wrestling.html,16,3,3.533799137,Fiji,[29/Nov/2017:16:18:13
10.131.2.1,/rugby.html,42,2,2.058080367,Fiji,[29/Nov/2017:16:18:16
10.131.2.1,/hockey.html,3,1,1.479129251,Fiji,[29/Nov/2017:16:21:26
10.131.0.4,/football.html,16,3,2.063822957,Chile,[29/Nov/2017:16:21:36
10.131.0.4,/contact_us.html,37,1,1.349371953,Chile,[29/Nov/2017:16:21:37
10.131.0.4,/index.html,63,3,2.373569838,Chile,[29/Nov/2017:16:21:37
10.131.2.1,/archery.html,27,3,3.153538463,Fiji,[29/Nov/2017:16:21:37
10.130.2.1,/athletics.html,20,2,2.074800074,Moscow,[29/Nov/2017:16:21:37
10.131.2.1,/boxing.html,11,2,1.585861021,Fiji,[29/Nov/2017:16:21:38
10.131.0.4,/wrestling.html,18,2,2.667609664,Chile,[29/Nov/2017:16:21:38
10.130.2.1,/index.html,52,1,1.557127921,Moscow,[29/Nov/2017:16:21:38
10.131.2.1,/archery.html,54,2,2.111973078,Fiji,[29/Nov/2017:16:21:38
10.130.2.1,/athletics.html,27,2,2.944687591,Moscow,[29/Nov/2017:16:21:38
10.131.2.1,/boxing.html,57,1,1.226167556,Fiji,[29/Nov/2017:16:21:41
10.131.0.6,/wrestling.html,42,1,2.372145676,Cuba,[29/Nov/2017:16:21:42
10.131.2.1,/index.html,3,2,3.745122443,Fiji,[29/Nov/2017:16:21:42
10.131.2.1,/index.html,98,3,2.203705721,Fiji,[29/Nov/2017:16:21:42
10.129.1.1,/archery.html,58,3,3.627770726,Egypt,[29/Nov/2017:16:21:42
10.131.0.6,/athletics.html,32,3,3.82327696,Cuba,[29/Nov/2017:16:21:43
10.128.2.1,/boxing.html,67,2,2.075533225,South Africa,[29/Nov/2017:16:21:43
10.129.2.1,/wrestling.html,31,3,1.773689296,Zambia,[29/Nov/2017:16:21:43
10.131.2.1,/track-cycling.html,51,2,1.639128962,Fiji,[29/Nov/2017:16:21:43
10.131.2.1,/tennis.html,27,1,2.759089446,Fiji,[29/Nov/2017:16:21:44
10.129.2.1,/rugby.html,11,1,1.144496112,Zambia,[29/Nov/2017:16:21:44
10.128.2.1,/hockey.html,63,2,1.184355782,South Africa,[29/Nov/2017:16:21:44
10.131.2.1,/football.html,75,3,2.35049552,Fiji,[29/Nov/2017:16:21:44
10.131.0.4,/contact_us.html,96,2,3.570346199,Chile,[29/Nov/2017:16:21:44
10.131.2.1,/index.html,58,1,1.408378662,Fiji,[29/Nov/2017:16:21:44
10.129.2.1,/archery.html,46,1,1.535441022,Zambia,[29/Nov/2017:16:21:44
10.131.2.1,/athletics.html,11,2,1.602017432,Fiji,[29/Nov/2017:16:21:44
10.131.0.4,/boxing.html,23,1,2.805156937,Chile,[29/Nov/2017:16:21:44
10.129.2.1,/wrestling.html,89,1,2.400684701,Zambia,[29/Nov/2017:16:21:45
10.131.2.1,/contact_us.html,43,1,3.230134701,Fiji,[29/Nov/2017:16:21:45
10.131.0.4,/index.html,15,2,3.272750899,Chile,[29/Nov/2017:16:21:45
10.131.0.4,/archery.html,35,3,3.696304207,Chile,[29/Nov/2017:16:21:47
10.131.2.1,/athletics.html,98,2,3.661547625,Fiji,[29/Nov/2017:16:21:48
10.131.0.4,/boxing.html,5,3,3.774689552,Chile,[29/Nov/2017:16:21:49
10.128.2.1,/wrestling.html,32,3,2.839578564,South Africa,[29/Nov/2017:16:21:57
10.128.2.1,/index.html,24,1,2.010724954,South Africa,[29/Nov/2017:16:22:07
10.131.0.4,/archery.html,85,2,3.517131598,Chile,[29/Nov/2017:16:22:20
10.130.2.1,/athletics.html,96,1,3.420690292,Moscow,[29/Nov/2017:16:22:20
10.130.2.1,/boxing.html,27,3,1.007970792,Moscow,[29/Nov/2017:16:22:24
10.128.2.1,/wrestling.html,40,2,3.435686817,South Africa,[29/Nov/2017:16:22:31
10.128.2.1,/index.html,61,2,3.303867211,South Africa,[29/Nov/2017:16:22:31
10.128.2.1,/index.html,43,2,1.277864981,South Africa,[29/Nov/2017:16:22:32
10.131.0.4,/archery.html,69,2,3.088646837,Chile,[29/Nov/2017:16:22:32
10.131.0.4,/athletics.html,3,3,3.209665234,Chile,[29/Nov/2017:16:22:38
10.129.2.1,/boxing.html,12,1,2.424151927,Zambia,[29/Nov/2017:16:22:39
10.129.1.1,/wrestling.html,49,2,2.295781584,Egypt,[29/Nov/2017:16:22:39
10.131.0.4,/track-cycling.html,80,3,1.068043177,Chile,[29/Nov/2017:16:22:39
10.130.2.1,/tennis.html,64,2,2.308659338,Moscow,[29/Nov/2017:16:22:39
10.130.2.1,/rugby.html,24,1,2.667825446,Moscow,[29/Nov/2017:16:22:41
10.131.2.1,/hockey.html,15,2,2.478688078,Fiji,[29/Nov/2017:16:22:41
10.131.0.4,/football.html,68,2,1.748663036,Chile,[29/Nov/2017:16:22:41
10.129.2.1,/contact_us.html,47,3,2.310374345,Zambia,[29/Nov/2017:16:22:41
10.131.0.4,/index.html,16,1,2.37204165,Chile,[29/Nov/2017:16:22:43
10.131.0.6,/archery.html,5,3,3.901864721,Cuba,[29/Nov/2017:16:22:51
10.129.2.1,/athletics.html,64,1,2.289262312,Zambia,[29/Nov/2017:16:22:51
10.128.2.1,/boxing.html,8,3,3.644828546,South Africa,[29/Nov/2017:16:22:52
10.128.2.1,/wrestling.html,94,2,1.529303466,South Africa,[29/Nov/2017:16:22:56
10.131.0.6,/index.html,90,1,2.30162445,Cuba,[29/Nov/2017:16:22:57
10.131.0.6,/archery.html,11,1,2.986004006,Cuba,[29/Nov/2017:16:22:57
10.131.0.1,/athletics.html,79,3,2.666837753,Brazil,[29/Nov/2017:16:22:59
10.129.2.1,/boxing.html,32,3,3.084304401,Zambia,[29/Nov/2017:16:23:00
10.129.2.1,/wrestling.html,21,1,3.445908164,Zambia,[29/Nov/2017:16:23:00
10.131.2.1,/index.html,23,3,3.821739123,Fiji,[29/Nov/2017:16:23:09
10.130.2.1,/archery.html,33,2,3.136722052,Moscow,[29/Nov/2017:16:23:10
10.130.2.1,/athletics.html,42,3,1.384346615,Moscow,[29/Nov/2017:16:23:11
10.131.2.1,/boxing.html,92,1,2.06412864,Fiji,[29/Nov/2017:16:23:11
10.131.0.1,/wrestling.html,12,1,2.450792508,Brazil,[29/Nov/2017:16:23:11
10.131.0.1,/index.html,12,2,2.769622083,Brazil,[29/Nov/2017:16:23:11
10.129.2.1,/index.html,14,1,3.76826315,Zambia,[29/Nov/2017:16:23:11
10.128.2.1,/archery.html,100,2,3.517471109,South Africa,[29/Nov/2017:16:23:11
10.131.0.1,/athletics.html,87,2,3.877729364,Brazil,[29/Nov/2017:16:23:12
10.131.0.1,/boxing.html,20,3,1.115171989,Brazil,[29/Nov/2017:16:23:12
10.129.2.1,/wrestling.html,69,2,1.938186902,Zambia,[29/Nov/2017:16:23:13
10.129.2.1,/track-cycling.html,68,1,1.446973041,Zambia,[29/Nov/2017:16:23:13
10.130.2.1,/tennis.html,92,2,3.941179133,Moscow,[29/Nov/2017:16:23:22
10.131.0.1,/rugby.html,10,3,2.701911585,Brazil,[29/Nov/2017:16:23:23
10.131.0.1,/hockey.html,34,1,1.19820799,Brazil,[29/Nov/2017:16:23:23
10.131.0.1,/football.html,97,1,3.171416557,Brazil,[29/Nov/2017:16:23:24
10.131.2.1,/contact_us.html,68,1,3.673533472,Fiji,[29/Nov/2017:16:23:48
10.130.2.1,/index.html,48,1,3.328290602,Moscow,[29/Nov/2017:16:23:48
10.130.2.1,/archery.html,87,1,1.373289259,Moscow,[29/Nov/2017:16:23:49
10.131.2.1,/athletics.html,2,2,1.970325811,Fiji,[29/Nov/2017:16:23:49
10.129.2.1,/boxing.html,92,3,1.823788837,Zambia,[29/Nov/2017:16:23:49
10.130.2.1,/wrestling.html,94,3,1.033151882,Moscow,[29/Nov/2017:16:23:50
10.131.0.1,/boxing.html,40,1,3.887937789,Brazil,[29/Nov/2017:16:23:50
10.129.2.1,/wrestling.html,27,1,3.701553705,Zambia,[29/Nov/2017:16:23:51
10.129.2.1,/track-cycling.html,3,2,3.837437061,Zambia,[29/Nov/2017:16:23:51
10.131.2.1,/tennis.html,55,3,2.405981131,Fiji,[29/Nov/2017:16:23:51
10.130.2.1,/rugby.html,38,2,2.56485804,Moscow,[29/Nov/2017:16:23:56
10.129.2.1,/hockey.html,27,3,3.701605541,Zambia,[29/Nov/2017:16:28:11
10.129.2.1,/football.html,59,2,2.575884243,Zambia,[29/Nov/2017:16:28:11
10.129.2.1,/contact_us.html,4,1,1.755414351,Zambia,[29/Nov/2017:16:28:12
10.131.2.1,/index.html,99,2,3.213872123,Fiji,[29/Nov/2017:16:28:12
10.130.2.1,/archery.html,48,3,1.913338009,Moscow,[29/Nov/2017:16:28:12
